Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2648.65,-1229.876,-1229.876,1.988542318344116,0.9494,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0030_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2643.23,-1237.883,-1237.883,1.4377530813217163,0.9682,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0031_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2645.26,-1162.5610000000001,-1162.5610000000001,1.926229238510132,0.955,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0032_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2633.17,-1234.7269999999999,-1232.7594074074073,1.718590259552002,0.9594,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0033_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2668.52,-1235.281,-1233.1313975651576,1.86133074760437,0.9594,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0034_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2667.52,-1226.568,-1224.9183104595336,1.6186891794204712,0.9627,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0035_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2647.45,-1253.642,-1253.642,2.052429437637329,0.9584,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0036_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2629.0,-1233.5819999999999,-1228.9739953259257,1.963860034942627,0.951,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0037_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2635.88,-1183.269,-1182.449370024417,1.8116508722305296,0.9618,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0038_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2619.34,-1256.4389999999999,-1242.2507105999998,1.65142822265625,0.9609,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0039_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2626.95,-1250.627,-1244.363748106447,1.5470737218856812,0.9674,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0040_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2623.16,-1247.1,-1237.2172988342932,1.8811845779418943,0.9616,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0041_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2654.7,-1216.859,-1216.859,1.7175550460815432,0.9590000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0042_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2606.69,-1247.279,-1215.2785135231825,1.5416160821914673,0.9619,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0043_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2634.95,-1266.5339999999999,-1265.3735515083674,1.553285837173462,0.9649,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0044_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2661.11,-1236.5430000000001,-1236.5358529997259,1.6173859834671018,0.9618,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0045_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2621.1,-1216.838,-1204.7096194768174,1.5666024684906006,0.9620000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0046_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2673.57,-1237.796,-1232.2216074074074,1.56553316116333,0.9601,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0047_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2641.88,-1231.056,-1231.056,2.0662171840667725,0.9493,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0048_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2663.69,-1266.4589999999996,-1266.1287639528118,1.65449857711792,0.9655,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0049_0001.pdb
